feature_id,description,variable_type,data_source,ukb_field,selected_by
BMI,Body-mass index at baseline,continuous,Declared covariate,21001,Covariate
PC1,Genetic principal component 1,continuous,Declared covariate,22009,Covariate
PC10,Genetic principal component 10,continuous,Declared covariate,22009,Covariate
PC2,Genetic principal component 2,continuous,Declared covariate,22009,Covariate
PC3,Genetic principal component 3,continuous,Declared covariate,22009,Covariate
PC4,Genetic principal component 4,continuous,Declared covariate,22009,Covariate
PC5,Genetic principal component 5,continuous,Declared covariate,22009,Covariate
PC6,Genetic principal component 6,continuous,Declared covariate,22009,Covariate
PC7,Genetic principal component 7,continuous,Declared covariate,22009,Covariate
PC8,Genetic principal component 8,continuous,Declared covariate,22009,Covariate
PC9,Genetic principal component 9,continuous,Declared covariate,22009,Covariate
age,Age at the taste assessment,continuous,Declared covariate,,Covariate
age_baseline,Age at the baseline assessment visit,continuous,Declared covariate,21003,Covariate
assess_centre_id,UK Biobank assessment centre,categorical,Declared covariate,54,Covariate
drink,"High-risk alcohol use at baseline, by the sex-specific unit threshold",binary,Declared covariate,"1568, 1578, 1588, 1598, 1608, 5364",Covariate
sex,Sex,binary,Declared covariate,31,Covariate
smell_any,Current self-reported loss or change of smell,binary,Declared covariate,28612,Covariate
smell_extent,Reported functional impact of the smell change,binary,Declared covariate,28614,Covariate
smell_time,Reported duration of the smell change,ordinal,Declared covariate,28613,Covariate
smoking,Current smoking status at baseline (non-current vs current),binary,Declared covariate,"1239, 1249, 2644",Covariate
townsend,Townsend deprivation index,continuous,Declared covariate,22189,Covariate
phe276,"Disorders of fluid, electrolyte, and acid-base balance",binary,Prior recorded diagnoses (PheCode),PheCode 276,DWAS
phe276.5,Hypovolemia,binary,Prior recorded diagnoses (PheCode),PheCode 276.5,DWAS
phe291.4,Specific nonpsychotic mental disorders due to brain damage,binary,Prior recorded diagnoses (PheCode),PheCode 291.4,DWAS
phe296,Mood disorders,binary,Prior recorded diagnoses (PheCode),PheCode 296,DWAS
phe296.2,Depression,binary,Prior recorded diagnoses (PheCode),PheCode 296.2,DWAS
phe296.22,Major depressive disorder,binary,Prior recorded diagnoses (PheCode),PheCode 296.22,DWAS
phe327,Sleep disorders,binary,Prior recorded diagnoses (PheCode),PheCode 327,DWAS
phe332,Parkinson's disease,binary,Prior recorded diagnoses (PheCode),PheCode 332,DWAS
phe340,Migraine,binary,Prior recorded diagnoses (PheCode),PheCode 340,DWAS
phe352,Disorders of other cranial nerves,binary,Prior recorded diagnoses (PheCode),PheCode 352,DWAS
phe395.4,Nonrheumatic pulmonary valve disorders,binary,Prior recorded diagnoses (PheCode),PheCode 395.4,DWAS
phe411,Ischemic Heart Disease,binary,Prior recorded diagnoses (PheCode),PheCode 411,DWAS
phe411.3,Angina pectoris,binary,Prior recorded diagnoses (PheCode),PheCode 411.3,DWAS
phe411.8,"Other chronic ischemic heart disease, unspecified",binary,Prior recorded diagnoses (PheCode),PheCode 411.8,DWAS
phe427,Cardiac dysrhythmias,binary,Prior recorded diagnoses (PheCode),PheCode 427,DWAS
phe427.2,Atrial fibrillation and flutter,binary,Prior recorded diagnoses (PheCode),PheCode 427.2,DWAS
phe433,Cerebrovascular disease,binary,Prior recorded diagnoses (PheCode),PheCode 433,DWAS
phe458,Hypotension,binary,Prior recorded diagnoses (PheCode),PheCode 458,DWAS
phe458.9,Hypotension NOS,binary,Prior recorded diagnoses (PheCode),PheCode 458.9,DWAS
phe471,Nasal polyps,binary,Prior recorded diagnoses (PheCode),PheCode 471,DWAS
phe475,Chronic sinusitis,binary,Prior recorded diagnoses (PheCode),PheCode 475,DWAS
phe495,Asthma,binary,Prior recorded diagnoses (PheCode),PheCode 495,DWAS
phe496,Chronic airway obstruction,binary,Prior recorded diagnoses (PheCode),PheCode 496,DWAS
phe496.2,Chronic bronchitis,binary,Prior recorded diagnoses (PheCode),PheCode 496.2,DWAS
phe496.21,Obstructive chronic bronchitis,binary,Prior recorded diagnoses (PheCode),PheCode 496.21,DWAS
phe496.3,Bronchiectasis,binary,Prior recorded diagnoses (PheCode),PheCode 496.3,DWAS
phe530,Diseases of esophagus,binary,Prior recorded diagnoses (PheCode),PheCode 530,DWAS
phe530.1,"Esophagitis, GERD and related diseases",binary,Prior recorded diagnoses (PheCode),PheCode 530.1,DWAS
phe530.11,GERD,binary,Prior recorded diagnoses (PheCode),PheCode 530.11,DWAS
phe564,Functional digestive disorders,binary,Prior recorded diagnoses (PheCode),PheCode 564,DWAS
phe564.1,Irritable Bowel Syndrome,binary,Prior recorded diagnoses (PheCode),PheCode 564.1,DWAS
phe596,Other disorders of bladder,binary,Prior recorded diagnoses (PheCode),PheCode 596,DWAS
phe600,Hyperplasia of prostate,binary,Prior recorded diagnoses (PheCode),PheCode 600,DWAS
dx_count_digestive,Count of prior digestive diagnoses (PheCode 520-579),derived_continuous,Derived,,Derived
dx_count_neuro,Count of prior neurological diagnoses (PheCode 320-349),derived_continuous,Derived,,Derived
dx_count_psych,Count of prior mental-disorder diagnoses (PheCode 290-319),derived_continuous,Derived,,Derived
dx_count_total,Count of distinct prior PheCode diagnoses (overall burden and a control for health-care contact),derived_continuous,Derived,,Derived
n_protective_dx,Count of the prior diagnoses that were inversely associated with the outcome in the disease-wide scan,derived_continuous,Derived,,Derived
smell_2w_strict_OR,Composite smell indicator: smell change lasting at least two weeks or affecting daily life,derived_binary,Derived,"28612, 28613, 28614",Derived
years_baseline_to_taste,Interval in years between the baseline assessment and the taste assessment,derived_continuous,Derived,,Derived
nutr_cholesterol_mg,Cholesterol,continuous,24-h dietary recall (Oxford WebQ),26037,ExWAS
nutr_mufa_g,Monounsaturated fatty acids,continuous,24-h dietary recall (Oxford WebQ),26032,ExWAS
nutr_saturated_fa_g,Saturated fatty acids,continuous,24-h dietary recall (Oxford WebQ),26014,ExWAS
nutr_sodium_mg,Sodium,continuous,24-h dietary recall (Oxford WebQ),26052,ExWAS
nutr_starch_g,Starch,continuous,24-h dietary recall (Oxford WebQ),26031,ExWAS
nutr_sucrose_g,Sucrose,continuous,24-h dietary recall (Oxford WebQ),26059,ExWAS
nutr_total_nitrogen_g,Total nitrogen,continuous,24-h dietary recall (Oxford WebQ),26060,ExWAS
nutr_total_weight_bev_g,Total weight of beverages only,continuous,24-h dietary recall (Oxford WebQ),26001,ExWAS
nutr_vitamin_e_mg,Vitamin E,continuous,24-h dietary recall (Oxford WebQ),26028,ExWAS
supp_any_ever,Vitamin supplement user,binary,24-h dietary recall (Oxford WebQ),104670,ExWAS
supp_calcium,Vitamin and/or mineral supplement use,binary,24-h dietary recall (Oxford WebQ),20084,ExWAS
supp_folic_acid,Vitamin and/or mineral supplement use,binary,24-h dietary recall (Oxford WebQ),20084,ExWAS
supp_vitamin_b12,Vitamin and/or mineral supplement use,binary,24-h dietary recall (Oxford WebQ),20084,ExWAS
supp_vitamin_d,Vitamin and/or mineral supplement use,binary,24-h dietary recall (Oxford WebQ),20084,ExWAS
supp_zinc,Vitamin and/or mineral supplement use,binary,24-h dietary recall (Oxford WebQ),20084,ExWAS
body_fat_pct,Body fat percentage,continuous,Anthropometric & physiological,23099,ExWAS
dbp,Diastolic BP mean of 2 readings (mmHg),continuous,Anthropometric & physiological,,ExWAS
fat_free_mass,Whole body fat-free mass (kg),continuous,Anthropometric & physiological,23101,ExWAS
grip_left,Hand grip strength left (kg),continuous,Anthropometric & physiological,46,ExWAS
grip_max,Max grip strength L/R (kg),continuous,Anthropometric & physiological,,ExWAS
grip_right,Hand grip strength right (kg),continuous,Anthropometric & physiological,47,ExWAS
hip_circ,Hip circumference (cm),continuous,Anthropometric & physiological,49,ExWAS
